customer_id,age,gender,city,signup_date,customer_segment
1001,42,Female,Mumbai,2021-07-05,Enterprise
1002,29,Female,Mumbai,2021-03-11,Regular
1003,24,Female,Bangalore,2021-05-30,Premium
1004,56,Male,Hyderabad,2021-09-03,Enterprise
1005,34,Male,Mumbai,2023-02-13,Premium
1006,62,Male,Bangalore,2022-06-22,Regular
1007,28,Female,Delhi,2022-10-14,Enterprise
1008,23,Male,Bangalore,2021-04-09,Premium
1009,40,Female,Bangalore,2021-10-05,Enterprise
1010,44,Female,Chennai,2022-07-17,Regular
1011,63,Male,Mumbai,2022-10-25,Enterprise
1012,23,Male,Hyderabad,2022-03-31,Regular
1013,55,Female,Hyderabad,2021-04-14,Premium
1014,19,Female,Chennai,2022-08-24,Regular
1015,39,Female,Hyderabad,2022-10-15,Premium
1016,37,Male,Bangalore,2022-12-26,Premium
1017,42,Male,Chennai,2021-08-21,Regular
1018,32,Male,Delhi,2022-01-29,Premium
1019,46,Male,Mumbai,2022-05-16,Enterprise
1020,25,Male,Mumbai,2022-11-26,Premium
1021,54,Male,Mumbai,2021-09-08,Regular
1022,50,Female,Bangalore,2022-06-05,Enterprise
1023,39,Female,Delhi,2021-03-20,Enterprise
1024,64,Female,Chennai,2021-02-21,Premium
1025,22,Male,Chennai,2023-02-20,Premium
1026,56,Female,Mumbai,2021-08-14,Regular
1027,35,Male,Delhi,2021-02-20,Enterprise
1028,55,Male,Delhi,2021-07-05,Regular
1029,54,Female,Delhi,2021-02-03,Premium
1030,47,Male,Hyderabad,2023-01-12,Enterprise
1031,48,Female,Hyderabad,2021-05-11,Regular
1032,27,Female,Mumbai,2022-09-24,Regular
1033,32,Male,Delhi,2022-03-19,Regular
1034,59,Female,Delhi,2023-01-29,Regular
1035,61,Female,Chennai,2022-03-08,Regular
1036,35,Female,Chennai,2022-12-05,Enterprise
1037,40,Female,Mumbai,2022-05-12,Regular
1038,50,Male,Delhi,2022-02-07,Enterprise
1039,33,Female,Mumbai,2021-11-19,Regular
1040,55,Female,Chennai,2021-07-29,Premium
1041,52,Female,Chennai,2022-09-07,Premium
1042,51,Male,Hyderabad,2021-11-25,Regular
1043,45,Female,Mumbai,2022-01-07,Premium
1044,19,Male,Mumbai,2022-04-05,Enterprise
